lsoacode,lsoaname,laname,wimd2019
W01001440,Beaufort 1,Blaenau Gwent,25.5
W01001441,Beaufort 2,Blaenau Gwent,40.9
W01001442,Beaufort 3,Blaenau Gwent,10.0
W01001443,Blaina 1,Blaenau Gwent,36.9
W01001444,Blaina 2,Blaenau Gwent,28.5
W01001445,Blaina 3,Blaenau Gwent,22.5
W01001446,Brynmawr 1,Blaenau Gwent,18.1
W01001447,Brynmawr 2,Blaenau Gwent,37.7
W01001448,Brynmawr 3,Blaenau Gwent,26.4
W01001449,Brynmawr 4,Blaenau Gwent,27.1
W01001450,Cwm 1,Blaenau Gwent,23.3
W01001451,Cwm 2,Blaenau Gwent,36.3
W01001452,Cwm 3,Blaenau Gwent,14.6
W01001453,Cwmtillery 1,Blaenau Gwent,47.0
W01001454,Cwmtillery 2,Blaenau Gwent,33.1
W01001455,Cwmtillery 3,Blaenau Gwent,27.6
W01001456,Ebbw Vale North 1,Blaenau Gwent,34.1
W01001457,Ebbw Vale North 2,Blaenau Gwent,54.5
W01001458,Ebbw Vale North 3,Blaenau Gwent,18.0
W01001459,Ebbw Vale South 1,Blaenau Gwent,49.3
W01001460,Ebbw Vale South 2,Blaenau Gwent,27.2
W01001461,Ebbw Vale South 3,Blaenau Gwent,30.8
W01001462,Georgetown 1,Blaenau Gwent,20.3
W01001463,Georgetown 2,Blaenau Gwent,14.2
W01001464,Llanhilleth 1,Blaenau Gwent,41.9
W01001465,Llanhilleth 2,Blaenau Gwent,40.7
W01001466,Llanhilleth 3,Blaenau Gwent,39.7
W01001467,Nantyglo 1,Blaenau Gwent,39.7
W01001468,Nantyglo 2,Blaenau Gwent,33.4
W01001469,Nantyglo 3,Blaenau Gwent,48.8
W01001470,Rassau 1,Blaenau Gwent,15.5
W01001471,Rassau 2,Blaenau Gwent,42.0
W01001472,Sirhowy 1,Blaenau Gwent,15.6
W01001473,Sirhowy 2,Blaenau Gwent,61.2
W01001474,Sirhowy 3,Blaenau Gwent,31.1
W01001475,Sirhowy 4,Blaenau Gwent,20.8
W01001476,Six Bells 1,Blaenau Gwent,41.2
W01001477,Six Bells 2,Blaenau Gwent,21.6
W01001478,Tredegar Central and West 1,Blaenau Gwent,19.5
W01001479,Tredegar Central and West 2,Blaenau Gwent,65.0
W01001480,Tredegar Central and West 3,Blaenau Gwent,41.7
W01001481,Tredegar Central and West 4,Blaenau Gwent,42.7
W01001482,Abersychan 1,Torfaen,36.4
W01001483,Abersychan 2,Torfaen,43.6
W01001484,Abersychan 3,Torfaen,16.2
W01001485,Abersychan 4,Torfaen,37.6
W01001486,Abersychan 5,Torfaen,20.1
W01001487,Blaenavon 1,Torfaen,24.7
W01001488,Blaenavon 2,Torfaen,39.6
W01001489,Blaenavon 3,Torfaen,30.1
W01001490,Blaenavon 4,Torfaen,18.9
W01001491,Brynwern,Torfaen,33.4
W01001492,Coed Eva,Torfaen,13.5
W01001493,Croesyceiliog North 1,Torfaen,20.8
W01001494,Croesyceiliog North 2,Torfaen,8.5
W01001495,Croesyceiliog South,Torfaen,11.4
W01001496,Cwmyniscoy,Torfaen,42.2
W01001497,Fairwater (Torfaen) 1,Torfaen,28.0
W01001498,Fairwater (Torfaen) 2,Torfaen,33.6
W01001499,Fairwater (Torfaen) 3,Torfaen,12.5
W01001500,Fairwater (Torfaen) 4,Torfaen,4.9
W01001501,Greenmeadow 1,Torfaen,38.6
W01001502,Greenmeadow 2,Torfaen,7.6
W01001503,Greenmeadow 3,Torfaen,38.4
W01001504,Llantarnam 1,Torfaen,17.7
W01001505,Llantarnam 2,Torfaen,11.3
W01001506,Llantarnam 3,Torfaen,42.3
W01001507,Llanyrafon North,Torfaen,12.8
W01001508,Llanyrafon South 1,Torfaen,8.9
W01001509,Llanyrafon South 2,Torfaen,3.6
W01001510,New Inn 1,Torfaen,14.3
W01001511,New Inn 2,Torfaen,15.7
W01001512,New Inn 3,Torfaen,3.1
W01001513,New Inn 4,Torfaen,4.7
W01001514,Panteg 1,Torfaen,8.3
W01001515,Panteg 2,Torfaen,13.5
W01001516,Panteg 3,Torfaen,28.1
W01001517,Panteg 4,Torfaen,6.6
W01001518,Panteg 5,Torfaen,6.6
W01001519,Pontnewydd 1,Torfaen,53.2
W01001520,Pontnewydd 2,Torfaen,17.6
W01001521,Pontnewydd 3,Torfaen,20.9
W01001522,Pontnewydd 4,Torfaen,25.4
W01001523,Pontnewynydd,Torfaen,23.8
W01001524,Pontypool,Torfaen,28.1
W01001525,St. Cadocs and Penygarn,Torfaen,34.8
W01001526,St. Dials 1,Torfaen,37.0
W01001527,St. Dials 2,Torfaen,25.9
W01001528,St. Dials 3,Torfaen,23.6
W01001529,Snatchwood,Torfaen,33.3
W01001530,Trevethin 1,Torfaen,63.9
W01001531,Trevethin 2,Torfaen,35.9
W01001532,Two Locks 1,Torfaen,37.7
W01001533,Two Locks 2,Torfaen,3.7
W01001534,Two Locks 3,Torfaen,16.0
W01001535,Two Locks 4,Torfaen,11.0
W01001536,Upper Cwmbran 1,Torfaen,45.6
W01001537,Upper Cwmbran 2,Torfaen,9.9
W01001538,Upper Cwmbran 3,Torfaen,39.0
W01001539,Upper Cwmbran 4,Torfaen,30.5
W01001540,Wainfelin 1,Torfaen,15.2
W01001541,Wainfelin 2,Torfaen,27.3
W01001542,Caerwent,Monmouthshire,9.2
W01001543,Caldicot Castle 1,Monmouthshire,7.4
W01001545,Cantref 1,Monmouthshire,7.2
W01001546,Cantref 2,Monmouthshire,33.4
W01001548,Crucorney,Monmouthshire,13.5
W01001549,Devauden,Monmouthshire,9.3
W01001551,Dewstow & Green Lane 2,Monmouthshire,20.8
W01001552,Dixton with Osbaston,Monmouthshire,3.7
W01001553,Drybridge 1,Monmouthshire,13.8
W01001554,Drybridge 2,Monmouthshire,10.6
W01001555,Goetre Fawr 1,Monmouthshire,7.8
W01001556,Goetre Fawr 2,Monmouthshire,12.5
W01001557,Grofield,Monmouthshire,19.8
W01001558,Lansdown,Monmouthshire,23.5
W01001559,Larkfield,Monmouthshire,9.5
W01001560,Llanbadoc,Monmouthshire,11.2
W01001561,Llanelly Hill 1,Monmouthshire,3.9
W01001562,Llanelly Hill 2,Monmouthshire,17.9
W01001563,Llanelly Hill 3,Monmouthshire,9.5
W01001564,Castle & Llanfoist Fawr,Monmouthshire,15.4
W01001565,Llangybi Fawr,Monmouthshire,11.8
W01001566,Llanover 1,Monmouthshire,21.6
W01001567,Llanover 2,Monmouthshire,20.2
W01001568,Llantilio Crossenny,Monmouthshire,13.1
W01001569,Llanwenarth Ultra,Monmouthshire,11.5
W01001571,Mardy 2,Monmouthshire,13.3
W01001572,Mill 1,Monmouthshire,7.9
W01001573,Mill 2,Monmouthshire,7.4
W01001574,Mill 3,Monmouthshire,5.5
W01001575,Mitchel Troy,Monmouthshire,12.7
W01001576,Overmonnow 1,Monmouthshire,17.2
W01001577,Overmonnow 2,Monmouthshire,31.4
W01001578,Portskewett,Monmouthshire,8.4
W01001579,Priory 1,Monmouthshire,10.6
W01001580,Priory 2,Monmouthshire,15.8
W01001581,Raglan,Monmouthshire,10.0
W01001582,Rogiet,Monmouthshire,12.7
W01001583,St. Arvans,Monmouthshire,11.3
W01001584,St. Christopher's,Monmouthshire,13.4
W01001585,St. Kingsmark 1,Monmouthshire,1.4
W01001586,St. Kingsmark 2,Monmouthshire,3.4
W01001587,St. Mary's,Monmouthshire,17.0
W01001588,Severn 1,Monmouthshire,7.7
W01001589,Severn 2,Monmouthshire,18.3
W01001590,Shirenewton,Monmouthshire,7.5
W01001591,The Elms,Monmouthshire,3.9
W01001592,Thornwell 1,Monmouthshire,30.4
W01001593,Thornwell 2,Monmouthshire,16.6
W01001594,Trellech United 1,Monmouthshire,13.4
W01001595,Trellech United 2,Monmouthshire,9.1
W01001596,Usk 1,Monmouthshire,9.1
W01001597,Usk 2,Monmouthshire,3.2
W01001598,West End,Monmouthshire,24.1
W01001599,Wyesham,Monmouthshire,17.4
W01001600,Allt-yr-yn 1,Newport,3.7
W01001601,Allt-yr-yn 2,Newport,44.4
W01001602,Allt-yr-yn 3,Newport,4.4
W01001603,Allt-yr-yn 4,Newport,20.1
W01001604,Allt-yr-yn 5,Newport,6.6
W01001605,Allt-yr-yn 6,Newport,30.1
W01001606,Alway 1,Newport,9.7
W01001607,Alway 2,Newport,56.9
W01001608,Alway 3,Newport,10.6
W01001609,Alway 4,Newport,51.3
W01001610,Alway 5,Newport,33.0
W01001611,Alway 6,Newport,20.1
W01001612,Beechwood 1,Newport,21.2
W01001613,Beechwood 2,Newport,16.4
W01001614,Beechwood 3,Newport,41.2
W01001615,Beechwood 4,Newport,20.4
W01001616,Beechwood 5,Newport,11.7
W01001617,Bettws (Newport) 1,Newport,62.3
W01001618,Bettws (Newport) 2,Newport,42.7
W01001619,Bettws (Newport) 3,Newport,55.9
W01001620,Bettws (Newport) 4,Newport,37.6
W01001621,Bettws (Newport) 5,Newport,46.1
W01001622,Bettws (Newport) 6,Newport,24.3
W01001623,Caerleon 1,Newport,9.0
W01001624,Caerleon 2,Newport,5.8
W01001625,Caerleon 3,Newport,12.0
W01001626,Caerleon 4,Newport,10.8
W01001627,Caerleon 5,Newport,4.4
W01001628,Caerleon 6,Newport,26.6
W01001629,Gaer 1,Newport,15.2
W01001630,Gaer 2,Newport,36.3
W01001631,Gaer 3,Newport,9.0
W01001632,Gaer 4,Newport,24.6
W01001633,Gaer 5,Newport,46.3
W01001634,Gaer 6,Newport,25.8
W01001635,Graig (Newport) 1,Newport,6.5
W01001636,Graig (Newport) 2,Newport,4.2
W01001637,Graig (Newport) 3,Newport,9.1
W01001638,Graig (Newport) 4,Newport,2.4
W01001639,Langstone 1,Newport,5.8
W01001640,Langstone 2,Newport,7.7
W01001641,Langstone 3,Newport,6.5
W01001642,Liswerry 1,Newport,33.5
W01001643,Liswerry 2,Newport,45.9
W01001644,Liswerry 3,Newport,21.1
W01001645,Liswerry 4,Newport,24.9
W01001646,Liswerry 5,Newport,49.1
W01001647,Liswerry 6,Newport,22.0
W01001648,Liswerry 7,Newport,21.7
W01001649,Llanwern 1,Newport,18.7
W01001650,Llanwern 2,Newport,21.5
W01001651,Malpas 1,Newport,5.6
W01001652,Malpas 2,Newport,55.6
W01001653,Malpas 3,Newport,7.1
W01001654,Malpas 4,Newport,8.9
W01001655,Malpas 5,Newport,6.4
W01001657,Marshfield 2,Newport,8.2
W01001658,Marshfield 3,Newport,9.1
W01001659,Pillgwenlly 1,Newport,67.9
W01001660,Pillgwenlly 2,Newport,40.5
W01001661,Pillgwenlly 3,Newport,54.1
W01001662,Pillgwenlly 4,Newport,72.1
W01001663,Ringland 1,Newport,35.2
W01001664,Ringland 2,Newport,48.2
W01001665,Ringland 3,Newport,24.3
W01001666,Ringland 4,Newport,52.4
W01001667,Ringland 5,Newport,57.1
W01001668,Ringland 6,Newport,44.9
W01001669,Rogerstone 1,Newport,1.9
W01001670,Rogerstone 2,Newport,4.0
W01001671,Rogerstone 3,Newport,20.7
W01001672,Rogerstone 4,Newport,13.4
W01001673,Rogerstone 5,Newport,3.7
W01001674,Rogerstone 6,Newport,15.1
W01001675,St. Julians 1,Newport,19.5
W01001676,St. Julians 2,Newport,35.2
W01001677,St. Julians 3,Newport,13.0
W01001678,St. Julians 4,Newport,31.6
W01001679,St. Julians 5,Newport,11.3
W01001680,St. Julians 6,Newport,17.9
W01001681,Shaftesbury 1,Newport,50.5
W01001682,Shaftesbury 2,Newport,26.5
W01001683,Shaftesbury 3,Newport,17.0
W01001684,Shaftesbury 4,Newport,20.0
W01001685,Stow Hill 1,Newport,35.0
W01001686,Stow Hill 2,Newport,20.6
W01001687,Stow Hill 3,Newport,49.1
W01001688,Tredegar Park 1,Newport,22.6
W01001689,Tredegar Park 2,Newport,63.9
W01001690,Victoria 1,Newport,36.0
W01001691,Victoria 2,Newport,46.8
W01001692,Victoria 3,Newport,45.2
W01001693,Victoria 4,Newport,51.2
W01001694,Adamsdown 1,Cardiff,44.7
W01001695,Adamsdown 2,Cardiff,34.2
W01001696,Adamsdown 3,Cardiff,58.0
W01001697,Adamsdown 4,Cardiff,40.7
W01001698,Adamsdown 5,Cardiff,45.8
W01001699,Butetown 1,Cardiff,47.8
W01001702,Caerau (Cardiff) 1,Cardiff,26.4
W01001703,Caerau (Cardiff) 2,Cardiff,52.1
W01001704,Caerau (Cardiff) 3,Cardiff,66.6
W01001705,Caerau (Cardiff) 4,Cardiff,40.9
W01001706,Caerau (Cardiff) 5,Cardiff,25.2
W01001707,Caerau (Cardiff) 6,Cardiff,50.8
W01001708,Caerau (Cardiff) 7,Cardiff,53.3
W01001709,Canton 1,Cardiff,20.9
W01001710,Canton 2,Cardiff,23.7
W01001711,Canton 3,Cardiff,35.7
W01001712,Canton 4,Cardiff,16.0
W01001713,Canton 5,Cardiff,23.7
W01001714,Canton 6,Cardiff,7.0
W01001715,Canton 7,Cardiff,9.8
W01001716,Canton 8,Cardiff,11.9
W01001717,Canton 9,Cardiff,19.3
W01001718,Cathays 1,Cardiff,19.0
W01001719,Cathays 2,Cardiff,10.7
W01001720,Cathays 3,Cardiff,19.5
W01001721,Cathays 4,Cardiff,18.8
W01001722,Cathays 5,Cardiff,14.2
W01001724,Cathays 6,Cardiff,20.6
W01001725,Cathays 7,Cardiff,19.2
W01001726,Cathays 8,Cardiff,17.9
W01001727,Creigiau/St. Fagans 1,Cardiff,4.6
W01001728,Creigiau/St. Fagans 2,Cardiff,1.7
W01001729,Creigiau/St. Fagans 3,Cardiff,5.5
W01001730,Cyncoed 1,Cardiff,3.0
W01001731,Cyncoed 2,Cardiff,4.1
W01001732,Cyncoed 3,Cardiff,4.2
W01001733,Cyncoed 4,Cardiff,3.7
W01001734,Cyncoed 5,Cardiff,1.9
W01001735,Cyncoed 6,Cardiff,4.0
W01001736,Cyncoed 7,Cardiff,3.5
W01001737,Ely 1,Cardiff,63.6
W01001738,Ely 2,Cardiff,66.5
W01001739,Ely 3,Cardiff,67.3
W01001740,Ely 4,Cardiff,65.9
W01001741,Ely 5,Cardiff,70.8
W01001742,Ely 6,Cardiff,61.8
W01001743,Ely 7,Cardiff,11.0
W01001744,Ely 8,Cardiff,53.3
W01001745,Ely 9,Cardiff,7.7
W01001746,Ely 10,Cardiff,49.4
W01001747,Fairwater (Cardiff) 1,Cardiff,9.1
W01001748,Fairwater (Cardiff) 2,Cardiff,26.2
W01001749,Fairwater (Cardiff) 3,Cardiff,24.5
W01001750,Fairwater (Cardiff) 4,Cardiff,39.2
W01001751,Fairwater (Cardiff) 5,Cardiff,45.0
W01001752,Fairwater (Cardiff) 6,Cardiff,9.5
W01001753,Fairwater (Cardiff) 7,Cardiff,47.8
W01001754,Fairwater (Cardiff) 8,Cardiff,15.6
W01001755,Gabalfa 1,Cardiff,11.3
W01001756,Gabalfa 2,Cardiff,16.7
W01001757,Gabalfa 3,Cardiff,12.8
W01001758,Gabalfa 4,Cardiff,11.5
W01001759,Grangetown 1,Cardiff,20.8
W01001760,Grangetown 2,Cardiff,23.8
W01001761,Grangetown 3,Cardiff,41.6
W01001762,Grangetown 4,Cardiff,56.8
W01001764,Grangetown 5,Cardiff,34.7
W01001765,Grangetown 6,Cardiff,35.7
W01001766,Grangetown 7,Cardiff,39.1
W01001767,Grangetown 8,Cardiff,31.4
W01001768,Grangetown 9,Cardiff,40.6
W01001769,Heath 1,Cardiff,1.9
W01001770,Heath 2,Cardiff,9.0
W01001771,Heath 3,Cardiff,3.7
W01001772,Heath 4,Cardiff,7.1
W01001773,Heath 5,Cardiff,7.7
W01001774,Heath 6,Cardiff,2.9
W01001775,Heath 7,Cardiff,9.6
W01001776,Heath 8,Cardiff,4.7
W01001777,Lisvane 1,Cardiff,3.5
W01001778,Lisvane 2,Cardiff,3.3
W01001779,Llandaff 1,Cardiff,3.7
W01001780,Llandaff 2,Cardiff,3.8
W01001781,Llandaff 3,Cardiff,8.9
W01001782,Llandaff 4,Cardiff,4.1
W01001783,Llandaff 5,Cardiff,3.2
W01001784,Llandaff 6,Cardiff,6.2
W01001785,Llandaff North 1,Cardiff,44.2
W01001786,Llandaff North 2,Cardiff,18.6
W01001787,Llandaff North 3,Cardiff,31.1
W01001788,Llandaff North 4,Cardiff,43.1
W01001789,Llandaff North 5,Cardiff,11.2
W01001790,Llandaff North 6,Cardiff,25.2
W01001791,Llanishen 1,Cardiff,9.4
W01001792,Llanishen 2,Cardiff,26.0
W01001793,Llanishen 3,Cardiff,3.0
W01001794,Llanishen 4,Cardiff,3.6
W01001795,Llanishen 5,Cardiff,2.1
W01001796,Llanishen 6,Cardiff,6.1
W01001797,Llanishen 7,Cardiff,7.6
W01001798,Llanishen 8,Cardiff,4.0
W01001799,Llanishen 9,Cardiff,4.0
W01001800,Llanishen 10,Cardiff,25.4
W01001802,Llanrumney 1,Cardiff,25.0
W01001803,Llanrumney 2,Cardiff,38.0
W01001804,Llanrumney 3,Cardiff,34.4
W01001805,Llanrumney 4,Cardiff,31.1
W01001806,Llanrumney 5,Cardiff,16.9
W01001807,Llanrumney 6,Cardiff,56.3
W01001808,Llanrumney 7,Cardiff,53.0
W01001809,Pentwyn 1,Cardiff,19.3
W01001810,Pentwyn 2,Cardiff,41.7
W01001811,Pentwyn 3,Cardiff,58.0
W01001812,Pentwyn 4,Cardiff,26.3
W01001813,Pentwyn 5,Cardiff,48.8
W01001814,Pentwyn 6,Cardiff,17.4
W01001815,Pentwyn 7,Cardiff,11.6
W01001816,Pentwyn 8,Cardiff,26.0
W01001817,Pentwyn 9,Cardiff,20.2
W01001818,Pentwyn 10,Cardiff,14.1
W01001819,Pentyrch 1,Cardiff,3.6
W01001820,Pentyrch 2,Cardiff,7.2
W01001821,Penylan 1,Cardiff,6.6
W01001822,Penylan 2,Cardiff,11.9
W01001823,Penylan 3,Cardiff,5.8
W01001824,Penylan 4,Cardiff,19.8
W01001825,Penylan 5,Cardiff,19.2
W01001826,Penylan 6,Cardiff,5.8
W01001827,Penylan 7,Cardiff,3.8
W01001828,Penylan 8,Cardiff,6.6
W01001829,Plasnewydd 1,Cardiff,24.6
W01001830,Plasnewydd 2,Cardiff,33.8
W01001831,Plasnewydd 3,Cardiff,20.5
W01001832,Plasnewydd 4,Cardiff,27.9
W01001833,Plasnewydd 5,Cardiff,24.8
W01001834,Plasnewydd 6,Cardiff,27.3
W01001835,Plasnewydd 7,Cardiff,54.1
W01001836,Plasnewydd 8,Cardiff,14.8
W01001837,Plasnewydd 9,Cardiff,22.9
W01001838,Plasnewydd 10,Cardiff,15.5
W01001839,Plasnewydd 11,Cardiff,20.2
W01001840,Pontprennau/Old St. Mellons 1,Cardiff,14.5
W01001841,Pontprennau/Old St. Mellons 2,Cardiff,6.2
W01001842,Pontprennau/Old St. Mellons 3,Cardiff,4.4
W01001843,Pontprennau/Old St. Mellons 4,Cardiff,5.8
W01001844,Pontprennau/Old St. Mellons 5,Cardiff,7.3
W01001846,Radyr & Morganstown 1,Cardiff,4.8
W01001847,Radyr & Morganstown 2,Cardiff,3.4
W01001848,Rhiwbina 1,Cardiff,3.8
W01001849,Rhiwbina 2,Cardiff,4.0
W01001850,Rhiwbina 3,Cardiff,2.8
W01001851,Rhiwbina 4,Cardiff,5.8
W01001852,Rhiwbina 5,Cardiff,4.0
W01001853,Rhiwbina 6,Cardiff,3.5
W01001854,Rhiwbina 7,Cardiff,5.0
W01001855,Riverside 1,Cardiff,48.6
W01001856,Riverside 2,Cardiff,51.6
W01001857,Riverside 3,Cardiff,57.4
W01001858,Riverside 4,Cardiff,12.3
W01001859,Riverside 5,Cardiff,13.6
W01001860,Riverside 6,Cardiff,13.4
W01001861,Riverside 7,Cardiff,15.2
W01001862,Riverside 8,Cardiff,35.4
W01001863,Rumney 1,Cardiff,20.2
W01001864,Rumney 2,Cardiff,9.1
W01001865,Rumney 3,Cardiff,11.5
W01001866,Rumney 4,Cardiff,36.9
W01001867,Rumney 5,Cardiff,52.2
W01001868,Rumney 6,Cardiff,30.3
W01001869,Splott 1,Cardiff,31.9
W01001870,Splott 2,Cardiff,27.1
W01001871,Splott 3,Cardiff,61.2
W01001872,Splott 4,Cardiff,35.1
W01001873,Splott 5,Cardiff,46.6
W01001874,Splott 6,Cardiff,71.4
W01001875,Splott 7,Cardiff,28.3
W01001876,Splott 8,Cardiff,56.4
W01001877,Trowbridge 1,Cardiff,11.9
W01001878,Trowbridge 2,Cardiff,17.7
W01001879,Trowbridge 3,Cardiff,45.1
W01001880,Trowbridge 4,Cardiff,59.4
W01001881,Trowbridge 5,Cardiff,46.3
W01001882,Trowbridge 6,Cardiff,13.5
W01001883,Trowbridge 7,Cardiff,49.6
W01001884,Trowbridge 8,Cardiff,71.2
W01001885,Trowbridge 9,Cardiff,32.7
W01001886,Trowbridge 10,Cardiff,52.7
W01001887,Whitchurch and Tongwynlais 1,Cardiff,2.6
W01001888,Whitchurch and Tongwynlais 2,Cardiff,9.6
W01001889,Whitchurch and Tongwynlais 3,Cardiff,12.3
W01001890,Whitchurch and Tongwynlais 4,Cardiff,6.1
W01001891,Whitchurch and Tongwynlais 5,Cardiff,12.3
W01001892,Whitchurch and Tongwynlais 6,Cardiff,4.2
W01001893,Whitchurch and Tongwynlais 7,Cardiff,13.2
W01001894,Whitchurch and Tongwynlais 8,Cardiff,5.3
W01001895,Whitchurch and Tongwynlais 9,Cardiff,34.7
W01001896,Whitchurch and Tongwynlais 10,Cardiff,4.0
W01001897,Talybont-on-Usk,Powys,11.0
W01001898,Vaynor 1,Merthyr Tydfil,28.2
W01001899,Cwm-twrch,Powys,23.8
W01001900,Ystalyfera 1,Neath Port Talbot,28.7
W01001901,St. John 1,Powys,7.9
W01001902,St. John 2,Powys,27.8
W01001903,Crickhowell,Powys,9.7
W01001904,Llangattock and Glangrwyney,Powys,9.8
W01001905,"Llangors, Bwlch & Grwyney",Powys,10.5
W01001906,Llanrhaeadr-ym-Mochnant,Powys,16.4
W01001907,Llansilin,Powys,16.0
W01001908,Dewstow,Monmouthshire,17.1
W01001909,Croesonen,Monmouthshire,24.1
W01001910,Castleland 2G,Vale of Glamorgan,34.5
W01001911,Castleland 2H,Vale of Glamorgan,30.4
W01001912,Marshfield 4,Newport,15.0
W01001913,Marshfield 5,Newport,7.3
W01001914,Tonyrefail West 2,Rhondda Cynon Taf,5.5
W01001915,Church Village 2,Rhondda Cynon Taf,2.3
W01001916,Church Village 3,Rhondda Cynon Taf,0.9
W01001917,Tonyrefail West 4,Rhondda Cynon Taf,18.6
W01001918,Bryntirion Laleston and Merthyr Mawr 1,Bridgend,1.8
W01001919,Bryntirion Laleston and Merthyr Mawr 4,Bridgend,1.4
W01001920,Bryntirion Laleston and Merthyr Mawr 5,Bridgend,2.3
W01001921,Bryntirion Laleston and Merthyr Mawr 6,Bridgend,7.8
W01001922,Cathays 9,Cardiff,19.0
W01001923,Glanymor 3,Carmarthenshire,26.7
W01001924,Glanymor 4,Carmarthenshire,57.1
W01001925,Hengoed 2,Carmarthenshire,18.8
W01001926,Llansanffraid,Conwy,9.3
W01001927,Abergele Pensarn 1,Conwy,18.9
W01001928,Abergele Pensarn 2,Conwy,57.0
W01001929,Smithfield 2,Wrexham,28.7
W01001930,Ceiriog Valley 3,Wrexham,15.8
W01001931,Smithfield 3,Wrexham,46.6
W01001932,Aberdaron / Botwnnog & Tudweiliog,Gwynedd,17.9
W01001933,Aberdovey / Bryn-crug / Llanfihangel,Gwynedd,12.2
W01001934,Penglais,Ceredigion,8.7
W01001935,Llanbadarn Fawr South,Ceredigion,10.2
W01001936,Llanbadarn Fawr North,Ceredigion,6.0
W01001937,Borth,Ceredigion,11.7
W01001938,Castle 7 East,Swansea,15.4
W01001939,Cathays 10,Cardiff,20.1
W01001940,Butetown 2,Cardiff,6.0
W01001941,Cathays 11,Cardiff,17.1
W01001942,Butetown 3,Cardiff,37.0
W01001943,Butetown 4,Cardiff,13.7
W01001944,Butetown 5,Cardiff,5.7
W01001945,Grangetown 10,Cardiff,6.7
W01001946,Grangetown 11,Cardiff,31.9
W01001947,Grangetown 12,Cardiff,6.7
W01001948,Radyr & Morganstown 3,Cardiff,1.5
W01001949,Llanishen 11,Cardiff,9.1
W01001950,Butetown 6,Cardiff,5.5
W01001951,Butetown 7,Cardiff,14.8
W01001952,Butetown 8,Cardiff,26.9
W01001953,Llanishen 12,Cardiff,14.1
W01001954,Radyr & Morganstown 4,Cardiff,3.3
W01001955,Castle 2 North,Swansea,64.7
W01001956,Killay 3,Swansea,2.1
W01001957,Castle 7 West,Swansea,28.5
W01001958,Castle 2 South,Swansea,16.5
